unit_id,county,township,service_point_count,essential_service_count,service_accessibility_score,service_gap_score,nearest_essential_service_distance_m,estimated_nearest_essential_travel_time_min,road_segment_count,road_length_km,mean_road_speed_kmh,capacity_norm,essential_norm,travel_time_inverse_norm
开县|麻柳乡|158,开县,麻柳乡,250.0,4.0,0.146364,0.853636,3591.15,14.544,0.0,0.0,20.0,0.0,0.0,0.0
城口县|明中乡|332,城口县,明中乡,215.0,2.0,0.145426,0.854574,5989.852,14.454,24.0,42.529706,33.566368,0.0,0.0,0.0
城口县|龙田乡|930,城口县,龙田乡,330.0,6.0,0.143426,0.856574,8932.226,15.846,31.0,22.802057,45.659098,0.0,0.0,0.0
巫溪县|宁厂镇|455,巫溪县,宁厂镇,155.0,4.0,0.14144,0.85856,7617.221,15.183,6.0,10.862972,40.63622,0.0,0.0,0.0
秀山土家族苗族自治县|海洋乡|835,秀山土家族苗族自治县,海洋乡,115.0,4.0,0.14125,0.85875,3702.427,14.995,0.0,0.0,20.0,0.0,0.0,0.0
巫溪县|兰英乡|546,巫溪县,兰英乡,42.0,0.0,0.138561,0.861439,7942.455,14.983,9.0,34.250939,42.938042,0.0,0.0,0.0
秀山土家族苗族自治县|膏田镇|665,秀山土家族苗族自治县,膏田镇,134.0,2.0,0.133775,0.866225,5448.872,16.792,11.0,8.405931,26.2838,0.0,0.0,0.0
彭水苗族土家族自治县|三义乡|849,彭水苗族土家族自治县,三义乡,138.0,2.0,0.131645,0.868355,4278.1,17.326,0.0,0.0,20.0,0.0,0.0,0.0
黔江区|白土乡|769,黔江区,白土乡,158.0,5.0,0.130672,0.869328,4409.014,17.857,0.0,0.0,20.0,0.0,0.0,0.0
奉节县|长安土家族乡|945,奉节县,长安土家族乡,173.0,6.0,0.128903,0.871097,8112.39,18.432,4.0,56.740831,35.649384,0.0,0.0,0.0
巫溪县|天元乡|453,巫溪县,天元乡,354.0,3.0,0.128607,0.871393,9566.369,19.372,1.0,2.679733,40.0,0.0,0.0,0.0
城口县|河鱼乡|334,城口县,河鱼乡,177.0,6.0,0.127521,0.872479,4639.386,18.79,8.0,5.801532,20.0,0.0,0.0,0.0
石柱土家族自治县|三星乡|984,石柱土家族自治县,三星乡,153.0,4.0,0.123652,0.876348,5295.069,19.468,21.0,26.413221,22.030849,0.0,0.0,0.0
巫溪县|乌龙乡|545,巫溪县,乌龙乡,198.0,2.0,0.123057,0.876943,9620.296,19.747,3.0,4.269104,39.462119,0.0,0.0,0.0
巫溪县|长桂乡|475,巫溪县,长桂乡,208.0,1.0,0.114761,0.885239,5369.403,21.746,0.0,0.0,20.0,0.0,0.0,0.0
彭水苗族土家族自治县|岩东乡|999,彭水苗族土家族自治县,岩东乡,101.0,0.0,0.108824,0.891176,5555.013,22.498,0.0,0.0,20.0,0.0,0.0,0.0
巫溪县|中岗乡|543,巫溪县,中岗乡,418.0,0.0,0.085627,0.914373,12984.449,29.941,25.0,43.573957,35.127419,0.0,0.0,0.0
酉阳土家族苗族自治县|楠木乡|66,酉阳土家族苗族自治县,楠木乡,84.0,0.0,0.082997,0.917003,9453.114,28.633,5.0,29.382845,26.742201,0.0,0.0,0.0
巫溪县|红池坝经济开发区|876,巫溪县,红池坝经济开发区,155.0,0.0,0.003314,0.996686,20857.791,48.271,1.0,8.843272,35.0,0.0,0.0,0.0
